energy refit (3s): pool full, held-out MAE 77.8 kJ, Spearman 0.722; coefficients {'grade': 0.5521390066859816, 'roll': 0.34010182007651674, 'aero': 48.15294344088712, 'time': 2.294564186467459, 'cross': 1.2289990736438448, 'tract2': 1.9529592840503323, 'tract_lowv': 0.11855757012670633, 'grade_lowv': 0.7020904816171711, 'one': 127.45713518893395}
[1/200] f104_crm_eval_group_0000 pool argmin 98 (locked 98) P 0.002 v 3.18 | G:P 0.002->0.001 H:P 0.002->0.006 | 23.8s (pool 1.1, refine 16.5, 60 steps)
[2/200] f104_crm_eval_group_0001 pool argmin 89 (locked 89) P 0.001 v 2.98 | G:P 0.001->0.001 H:P 0.001->0.001 | 22.1s (pool 0.9, refine 14.9, 60 steps)
[3/200] f104_crm_eval_group_0002 pool argmin 61 (locked 61) P 0.001 v 2.41 | G:P 0.001->0.001 H:P 0.001->0.001 | 22.5s (pool 0.9, refine 15.3, 60 steps)
[4/200] f104_crm_eval_group_0003 pool argmin 248 (locked 248) P 0.005 v 2.90 | G:P 0.005->0.001 H:P 0.005->0.020 | 22.1s (pool 1.0, refine 15.1, 60 steps)
[5/200] f104_crm_eval_group_0004 pool argmin 236 (locked 236) P 0.012 v 2.22 | G:P 0.012->0.001 H:P 0.012->0.002 | 22.3s (pool 0.8, refine 15.2, 60 steps)
[6/200] f104_crm_eval_group_0005 pool argmin 2 (locked 2) P 0.003 v 5.42 | G:P 0.003->0.001 H:P 0.003->0.005 | 22.5s (pool 1.0, refine 15.2, 60 steps)
[7/200] f104_crm_eval_group_0006 pool argmin 13 (locked 13) P 0.002 v 2.95 | G:P 0.002->0.001 H:P 0.002->0.001 | 22.0s (pool 0.9, refine 14.8, 60 steps)
[8/200] f104_crm_eval_group_0007 pool argmin 38 (locked 38) P 0.005 v 3.70 | G:P 0.005->0.001 H:P 0.005->0.005 | 22.3s (pool 1.0, refine 15.1, 60 steps)
[9/200] f104_crm_eval_group_0008 pool argmin 166 (locked 166) P 0.001 v 2.03 | G:P 0.001->0.001 H:P 0.001->0.001 | 22.4s (pool 0.9, refine 15.3, 60 steps)
[10/200] f104_crm_eval_group_0009 pool argmin 137 (locked 137) P 0.001 v 1.66 | G:P 0.001->0.001 H:P 0.001->0.001 | 22.4s (pool 0.8, refine 15.4, 60 steps)
[11/200] f104_crm_eval_group_0010 pool argmin 156 (locked 156) P 0.001 v 2.74 | G:P 0.001->0.001 H:P 0.001->0.006 | 22.3s (pool 0.9, refine 15.2, 60 steps)
[12/200] f104_crm_eval_group_0011 pool argmin 32 (locked 32) P 0.031 v 2.44 | G:P 0.031->0.001 H:P 0.031->0.006 | 18.0s (pool 0.8, refine 14.1, 60 steps)
[13/200] f104_crm_eval_group_0012 pool argmin 91 (locked 91) P 0.001 v 2.83 | G:P 0.001->0.001 H:P 0.001->0.001 | 6.1s (pool 0.9, refine 4.6, 60 steps)
[14/200] f104_crm_eval_group_0013 pool argmin 145 (locked 145) P 0.004 v 3.54 | G:P 0.004->0.001 H:P 0.004->0.002 | 5.9s (pool 0.7, refine 4.6, 60 steps)
[15/200] f104_crm_eval_group_0014 pool argmin 5 (locked 5) P 0.004 v 5.64 | G:P 0.004->0.002 H:P 0.004->0.006 | 6.2s (pool 0.7, refine 4.8, 60 steps)
[16/200] f104_crm_eval_group_0015 pool argmin 105 (locked 105) P 0.001 v 3.45 | G:P 0.001->0.001 H:P 0.001->0.001 | 12.7s (pool 0.8, refine 7.7, 60 steps)
[17/200] f104_crm_eval_group_0016 pool argmin 5 (locked 5) P 0.001 v 5.56 | G:P 0.001->0.001 H:P 0.001->0.001 | 17.2s (pool 0.8, refine 12.0, 60 steps)
[18/200] f104_crm_eval_group_0017 pool argmin 19 (locked 19) P 0.315 v 3.24 | G:P 0.315->0.003 H:P 0.315->0.003 | 17.3s (pool 0.8, refine 12.1, 60 steps)
[19/200] f104_crm_eval_group_0018 pool argmin 66 (locked 66) P 0.002 v 3.42 | G:abstain H:P 0.002->0.010 | 17.2s (pool 0.9, refine 12.0, 60 steps)
[20/200] f104_crm_eval_group_0019 pool argmin 146 (locked 146) P 0.001 v 2.04 | G:P 0.001->0.001 H:P 0.001->0.001 | 15.3s (pool 0.8, refine 10.2, 60 steps)
[21/200] f104_crm_eval_group_0020 pool argmin 237 (locked 237) P 0.001 v 2.23 | G:P 0.001->0.001 H:P 0.001->0.001 | 15.6s (pool 0.8, refine 12.1, 60 steps)
[22/200] f104_crm_eval_group_0021 pool argmin 134 (locked 134) P 0.001 v 2.80 | G:abstain H:P 0.001->0.002 | 17.0s (pool 0.8, refine 12.0, 60 steps)
[23/200] f104_crm_eval_group_0022 pool argmin 205 (locked 205) P 0.004 v 2.08 | G:P 0.004->0.001 H:P 0.004->0.001 | 17.0s (pool 0.8, refine 12.0, 60 steps)
[24/200] f104_crm_eval_group_0023 pool argmin 5 (locked 5) P 0.237 v 5.59 | G:P 0.237->0.002 H:P 0.237->0.007 | 16.9s (pool 0.8, refine 11.9, 60 steps)
[25/200] f104_crm_eval_group_0024 pool argmin 8 (locked 8) P 0.029 v 5.53 | G:P 0.029->0.008 H:P 0.029->0.038 | 16.2s (pool 0.8, refine 11.9, 60 steps)
[26/200] f104_crm_eval_group_0025 pool argmin 8 (locked 8) P 0.011 v 5.69 | G:P 0.011->0.001 H:P 0.011->0.018 | 20.1s (pool 0.8, refine 13.1, 60 steps)
[27/200] f104_crm_eval_group_0026 pool argmin 73 (locked 73) P 0.004 v 2.48 | G:P 0.004->0.001 H:P 0.004->0.001 | 22.3s (pool 0.9, refine 15.1, 60 steps)
[28/200] f104_crm_eval_group_0027 pool argmin 8 (locked 8) P 0.004 v 5.53 | G:P 0.004->0.001 H:P 0.004->0.010 | 22.1s (pool 0.9, refine 15.0, 60 steps)
[29/200] f104_crm_eval_group_0028 pool argmin 63 (locked 63) P 0.002 v 2.78 | G:P 0.002->0.001 H:P 0.002->0.001 | 22.0s (pool 0.8, refine 15.1, 60 steps)
[30/200] f104_crm_eval_group_0029 pool argmin 52 (locked 52) P 0.001 v 2.51 | G:P 0.001->0.001 H:P 0.001->0.004 | 22.3s (pool 0.9, refine 15.2, 60 steps)
[31/200] f104_crm_eval_group_0030 pool argmin 112 (locked 112) P 0.001 v 2.22 | G:abstain H:P 0.001->0.001 | 22.1s (pool 0.9, refine 15.2, 60 steps)
[32/200] f104_crm_eval_group_0031 pool argmin 42 (locked 42) P 0.002 v 4.43 | G:P 0.002->0.001 H:P 0.002->0.008 | 22.1s (pool 0.9, refine 15.0, 60 steps)
[33/200] f104_crm_eval_group_0032 pool argmin 67 (locked 67) P 0.001 v 1.76 | G:abstain H:P 0.001->0.001 | 22.1s (pool 0.9, refine 15.0, 60 steps)
[34/200] f104_crm_eval_group_0033 pool argmin 173 (locked 173) P 0.110 v 3.84 | G:P 0.110->0.001 H:P 0.110->0.005 | 22.5s (pool 0.9, refine 15.3, 60 steps)
[35/200] f104_crm_eval_group_0034 pool argmin 180 (locked 180) P 0.001 v 2.61 | G:P 0.001->0.001 H:P 0.001->0.004 | 17.5s (pool 0.9, refine 12.3, 60 steps)
[36/200] f104_crm_eval_group_0035 pool argmin 2 (locked 2) P 0.069 v 5.60 | G:P 0.069->0.001 H:P 0.069->0.002 | 22.3s (pool 0.9, refine 15.2, 60 steps)
[37/200] f104_crm_eval_group_0036 pool argmin 132 (locked 132) P 0.001 v 2.62 | G:P 0.001->0.001 H:P 0.001->0.001 | 22.1s (pool 1.0, refine 14.9, 60 steps)
[38/200] f104_crm_eval_group_0037 pool argmin 252 (locked 252) P 0.012 v 3.15 | G:P 0.012->0.001 H:P 0.012->0.002 | 22.0s (pool 0.8, refine 14.9, 60 steps)
[39/200] f104_crm_eval_group_0038 pool argmin 31 (locked 31) P 0.036 v 1.42 | G:P 0.036->0.003 H:P 0.036->0.016 | 22.1s (pool 0.9, refine 15.0, 60 steps)
[40/200] f104_crm_eval_group_0039 pool argmin 144 (locked 144) P 0.002 v 3.62 | G:P 0.002->0.001 H:P 0.002->0.007 | 22.2s (pool 0.9, refine 15.1, 60 steps)
[41/200] f104_crm_eval_group_0040 pool argmin 219 (locked 219) P 0.001 v 3.31 | G:P 0.001->0.001 H:P 0.001->0.002 | 27.6s (pool 0.9, refine 17.3, 60 steps)
[42/200] f104_crm_eval_group_0041 pool argmin 252 (locked 252) P 0.001 v 3.04 | G:P 0.001->0.001 H:P 0.001->0.002 | 31.2s (pool 1.1, refine 20.9, 60 steps)
[43/200] f104_crm_eval_group_0042 pool argmin 78 (locked 78) P 0.002 v 2.97 | G:P 0.002->0.001 H:P 0.002->0.001 | 27.4s (pool 0.9, refine 20.3, 60 steps)
[44/200] f104_crm_eval_group_0043 pool argmin 182 (locked 182) P 0.010 v 2.98 | G:P 0.010->0.001 H:P 0.010->0.003 | 27.9s (pool 0.8, refine 18.0, 60 steps)
[45/200] f104_crm_eval_group_0044 pool argmin 166 (locked 166) P 0.002 v 2.96 | G:P 0.002->0.001 H:P 0.002->0.003 | 28.6s (pool 0.9, refine 19.0, 60 steps)
[46/200] f104_crm_eval_group_0045 pool argmin 30 (locked 30) P 0.002 v 2.21 | G:P 0.002->0.000 H:P 0.002->0.001 | 30.5s (pool 1.0, refine 20.8, 60 steps)
[47/200] f104_crm_eval_group_0046 pool argmin 25 (locked 25) P 0.001 v 3.31 | G:P 0.001->0.001 H:P 0.001->0.001 | 30.8s (pool 1.0, refine 20.6, 60 steps)
[48/200] f104_crm_eval_group_0047 pool argmin 255 (locked 255) P 0.004 v 3.57 | G:P 0.004->0.001 H:P 0.004->0.008 | 31.1s (pool 1.0, refine 20.9, 60 steps)
[49/200] f104_crm_eval_group_0048 pool argmin 94 (locked 94) P 0.002 v 3.53 | G:P 0.002->0.001 H:P 0.002->0.011 | 30.8s (pool 0.9, refine 20.9, 60 steps)
[50/200] f104_crm_eval_group_0049 pool argmin 17 (locked 17) P 0.001 v 1.65 | G:P 0.001->0.001 H:P 0.001->0.001 | 31.4s (pool 1.0, refine 21.1, 60 steps)
[51/200] f104_crm_eval_group_0050 pool argmin 177 (locked 177) P 0.001 v 1.94 | G:abstain H:P 0.001->0.001 | 31.2s (pool 1.0, refine 21.0, 60 steps)
[52/200] f104_crm_eval_group_0051 pool argmin 187 (locked 187) P 0.001 v 2.72 | G:P 0.001->0.001 H:P 0.001->0.001 | 30.6s (pool 0.9, refine 20.7, 60 steps)
[53/200] f104_crm_eval_group_0052 pool argmin 130 (locked 130) P 0.001 v 2.97 | G:abstain H:P 0.001->0.001 | 31.0s (pool 1.0, refine 20.8, 60 steps)
[54/200] f104_crm_eval_group_0053 pool argmin 99 (locked 99) P 0.008 v 2.34 | G:P 0.008->0.001 H:P 0.008->0.010 | 30.9s (pool 1.0, refine 20.7, 60 steps)
[55/200] f104_crm_eval_group_0054 pool argmin 142 (locked 142) P 0.034 v 2.60 | G:P 0.034->0.001 H:P 0.034->0.173 | 30.5s (pool 1.0, refine 20.7, 60 steps)
[56/200] f104_crm_eval_group_0055 pool argmin 5 (locked 5) P 0.129 v 5.46 | G:P 0.129->0.005 H:P 0.129->0.009 | 29.8s (pool 1.1, refine 21.1, 60 steps)
[57/200] f104_crm_eval_group_0056 pool argmin 59 (locked 59) P 0.002 v 2.99 | G:P 0.002->0.001 H:P 0.002->0.001 | 30.0s (pool 1.0, refine 19.8, 60 steps)
[58/200] f104_crm_eval_group_0057 pool argmin 107 (locked 107) P 0.001 v 2.71 | G:P 0.001->0.001 H:P 0.001->0.005 | 27.2s (pool 0.9, refine 20.1, 60 steps)
[59/200] f104_crm_eval_group_0058 pool argmin 203 (locked 203) P 0.001 v 2.14 | G:abstain H:P 0.001->0.001 | 27.4s (pool 0.9, refine 17.2, 60 steps)
[60/200] f104_crm_eval_group_0059 pool argmin 105 (locked 105) P 0.001 v 2.77 | G:P 0.001->0.001 H:P 0.001->0.007 | 31.0s (pool 1.0, refine 20.8, 60 steps)
[61/200] f104_crm_eval_group_0060 pool argmin 206 (locked 206) P 0.001 v 2.77 | G:abstain H:P 0.001->0.001 | 30.8s (pool 0.9, refine 20.8, 60 steps)
[62/200] f104_crm_eval_group_0061 pool argmin 40 (locked 40) P 0.002 v 3.25 | G:P 0.002->0.001 H:P 0.002->0.003 | 31.1s (pool 1.0, refine 20.9, 60 steps)
[63/200] f104_crm_eval_group_0062 pool argmin 167 (locked 167) P 0.004 v 2.23 | G:P 0.004->0.001 H:P 0.004->0.001 | 30.9s (pool 0.9, refine 20.8, 60 steps)
[64/200] f104_crm_eval_group_0063 pool argmin 233 (locked 233) P 0.566 v 3.35 | G:P 0.566->0.003 H:P 0.566->0.004 | 30.8s (pool 0.9, refine 20.7, 60 steps)
[65/200] f104_crm_eval_group_0064 pool argmin 78 (locked 78) P 0.002 v 2.45 | G:P 0.002->0.001 H:P 0.002->0.004 | 30.9s (pool 1.0, refine 20.7, 60 steps)
[66/200] f104_crm_eval_group_0065 pool argmin 117 (locked 117) P 0.001 v 2.80 | G:P 0.001->0.001 H:P 0.001->0.001 | 30.3s (pool 1.0, refine 20.9, 60 steps)
[67/200] f104_crm_eval_group_0066 pool argmin 72 (locked 72) P 0.001 v 2.85 | G:P 0.001->0.001 H:P 0.001->0.002 | 31.1s (pool 1.0, refine 20.9, 60 steps)
[68/200] f104_crm_eval_group_0067 pool argmin 2 (locked 2) P 0.002 v 5.44 | G:P 0.002->0.001 H:P 0.002->0.002 | 28.2s (pool 1.0, refine 20.8, 60 steps)
[69/200] f104_crm_eval_group_0068 pool argmin 47 (locked 47) P 0.001 v 2.64 | G:P 0.001->0.001 H:P 0.001->0.001 | 31.0s (pool 0.9, refine 20.8, 60 steps)
[70/200] f104_crm_eval_group_0069 pool argmin 145 (locked 145) P 0.001 v 2.72 | G:abstain H:P 0.001->0.001 | 30.7s (pool 1.0, refine 20.8, 60 steps)
[71/200] f104_crm_eval_group_0070 pool argmin 196 (locked 196) P 0.001 v 2.30 | G:abstain H:P 0.001->0.001 | 30.9s (pool 1.0, refine 20.8, 60 steps)
