name,label,input_dim,S,best_ep,flat10,crm10,last_ep,status
L8_H8_E256_ctx128,baseline (15-D state + one-hot),20,0.0455823416320925,51,0.03733272899748236,0.05383195426670264,80,done
L8_H8_E256_ctx128_no_onehot,ab1: no terrain one-hot,18,0.06558720265866498,58,0.08255984900488991,0.04861455631244004,80,done
L8_H8_E256_ctx128_no_tireforce_omega,ab2: no tire Fz + spindle omega,12,0.057047763521219846,72,0.0341033183355367,0.07999220870690299,80,done
