ci_grad: 5 members from artifacts/traverse/crm_improve_20260922/deploy_v1/deploy_a1_haux_gru_s*.pt on cuda: kinds ['ci_train'] conds ['hist_aux'] hist_T 40; steps 60 starts 17 lr 0.02/0.1 keep pessimistic abstain 0.3
  [31/800] f104_crm_eval_group_0030 B z -13.570 (pess -13.426) -> G abstain | valid 17/17 | 2.57s (cem 0.34 refine 2.17 [60 steps] finals 0.05)
  [32/800] f104_crm_eval_group_0031 B z -13.519 (pess -13.276) -> G abstain | valid 17/17 | 2.58s (cem 0.34 refine 2.17 [60 steps] finals 0.05)
  [33/800] f104_crm_eval_group_0032 B z -13.498 (pess -13.079) -> G z -13.603 (pess -13.558) gain 0.479 from B/sample step 14 | valid 17/17 | 2.64s (cem 0.35 refine 2.23 [60 steps] finals 0.05)
  [34/800] f104_crm_eval_group_0033 B z -12.933 (pess -12.589) -> G z -13.346 (pess -13.183) gain 0.592 from B/sample step 51 | valid 17/17 | 2.62s (cem 0.35 refine 2.20 [60 steps] finals 0.06)
  [35/800] f104_crm_eval_group_0034 B z -13.399 (pess -13.075) -> G z -13.587 (pess -13.479) gain 0.405 from B/mean step 27 | valid 17/17 | 2.64s (cem 0.36 refine 2.22 [60 steps] finals 0.06)
  [36/800] f104_crm_eval_group_0035 B z -13.409 (pess -13.049) -> G z -13.591 (pess -13.567) gain 0.518 from B/sample step 52 | valid 17/17 | 2.62s (cem 0.35 refine 2.20 [60 steps] finals 0.05)
  [37/800] f104_crm_eval_group_0036 B z -13.008 (pess -12.362) -> G abstain | valid 17/17 | 2.69s (cem 0.39 refine 2.23 [60 steps] finals 0.05)
  [38/800] f104_crm_eval_group_0037 B z -13.176 (pess -12.820) -> G abstain | valid 17/17 | 2.63s (cem 0.36 refine 2.21 [60 steps] finals 0.05)
  [39/800] f104_crm_eval_group_0038 B z -13.226 (pess -12.869) -> G abstain | valid 17/17 | 2.78s (cem 0.35 refine 2.37 [60 steps] finals 0.05)
  [40/800] f104_crm_eval_group_0039 B z -13.282 (pess -12.477) -> G z -13.479 (pess -13.229) gain 0.751 from round0/sample step 56 | valid 17/17 | 2.94s (cem 0.37 refine 2.50 [60 steps] finals 0.05)
  [41/800] f104_crm_eval_group_0040 B z -13.646 (pess -13.602) -> G abstain | valid 17/17 | 2.88s (cem 0.38 refine 2.44 [60 steps] finals 0.05)
  [42/800] f104_crm_eval_group_0041 B z -13.467 (pess -13.010) -> G z -13.630 (pess -13.583) gain 0.573 from round0/anchor step 20 | valid 17/17 | 2.70s (cem 0.37 refine 2.27 [60 steps] finals 0.05)
  [43/800] f104_crm_eval_group_0042 B z -13.466 (pess -12.937) -> G z -13.520 (pess -13.272) gain 0.334 from B/mean step 19 | valid 17/17 | 2.59s (cem 0.36 refine 2.16 [60 steps] finals 0.05)
  [44/800] f104_crm_eval_group_0043 B z -13.539 (pess -13.385) -> G abstain | valid 17/17 | 2.64s (cem 0.39 refine 2.18 [60 steps] finals 0.06)
  [45/800] f104_crm_eval_group_0044 B z -12.351 (pess -11.711) -> G z -12.783 (pess -12.637) gain 0.926 from round0/anchor step 44 | valid 17/17 | 2.59s (cem 0.35 refine 2.17 [60 steps] finals 0.05)
  [46/800] f104_crm_eval_group_0045 B z -13.504 (pess -13.316) -> G abstain | valid 17/17 | 2.59s (cem 0.36 refine 2.17 [60 steps] finals 0.05)
  [47/800] f104_crm_eval_group_0046 B z -13.609 (pess -13.487) -> G abstain | valid 17/17 | 2.59s (cem 0.36 refine 2.17 [60 steps] finals 0.05)
  [48/800] f104_crm_eval_group_0047 B z -13.325 (pess -12.985) -> G z -13.522 (pess -13.389) gain 0.404 from B/sample step 60 | valid 17/17 | 2.60s (cem 0.35 refine 2.18 [60 steps] finals 0.05)
  [49/800] f104_crm_eval_group_0048 B z -13.497 (pess -13.406) -> G abstain | valid 17/17 | 2.61s (cem 0.35 refine 2.20 [60 steps] finals 0.05)
  [50/800] f104_crm_eval_group_0049 B z -13.282 (pess -13.112) -> G abstain | valid 17/17 | 2.60s (cem 0.36 refine 2.18 [60 steps] finals 0.05)
  [51/800] f104_crm_eval_group_0050 B z -13.544 (pess -13.400) -> G abstain | valid 17/17 | 2.60s (cem 0.35 refine 2.18 [60 steps] finals 0.05)
  [52/800] f104_crm_eval_group_0051 B z -13.604 (pess -13.355) -> G abstain | valid 17/17 | 2.60s (cem 0.35 refine 2.18 [60 steps] finals 0.05)
  [53/800] f104_crm_eval_group_0052 B z -13.233 (pess -12.512) -> G z -13.325 (pess -13.214) gain 0.704 from round0/anchor step 54 | valid 17/17 | 2.58s (cem 0.35 refine 2.17 [60 steps] finals 0.05)
  [54/800] f104_crm_eval_group_0053 B z -13.310 (pess -12.908) -> G abstain | valid 17/17 | 2.60s (cem 0.35 refine 2.18 [60 steps] finals 0.05)
  [55/800] f104_crm_eval_group_0054 B z -12.750 (pess -10.503) -> G z -13.385 (pess -13.038) gain 2.535 from round0/sample step 48 | valid 17/17 | 2.60s (cem 0.36 refine 2.17 [60 steps] finals 0.05)
  [56/800] f104_crm_eval_group_0055 B z -12.557 (pess -12.059) -> G z -12.672 (pess -12.464) gain 0.405 from B/sample step 16 | valid 17/17 | 2.57s (cem 0.36 refine 2.15 [60 steps] finals 0.05)
  [57/800] f104_crm_eval_group_0056 B z -13.141 (pess -12.922) -> G z -13.365 (pess -13.265) gain 0.343 from B/sample step 42 | valid 17/17 | 2.59s (cem 0.35 refine 2.18 [60 steps] finals 0.05)
  [58/800] f104_crm_eval_group_0057 B z -13.475 (pess -13.175) -> G abstain | valid 17/17 | 2.59s (cem 0.36 refine 2.16 [60 steps] finals 0.05)
  [59/800] f104_crm_eval_group_0058 B z -13.523 (pess -13.122) -> G z -13.627 (pess -13.599) gain 0.478 from round0/sample step 26 | valid 17/17 | 2.59s (cem 0.36 refine 2.17 [60 steps] finals 0.05)
  [60/800] f104_crm_eval_group_0059 B z -13.259 (pess -12.730) -> G z -13.501 (pess -13.377) gain 0.646 from round0/anchor step 60 | valid 17/17 | 2.59s (cem 0.36 refine 2.17 [60 steps] finals 0.05)
