ci_grad: 5 members from artifacts/traverse/crm_improve_20260922/deploy_v1/deploy_a3_haux_txjoint_s*.pt on cuda: kinds ['ci_train'] conds ['hist_aux'] hist_T 40; steps 60 starts 17 lr 0.02/0.1 keep pessimistic abstain 0.3
  [36/800] f104_crm_eval_group_0035 B z -7.612 (pess -7.503) -> G z -8.150 (pess -7.926) gain 0.423 from round0/sample step 60 | valid 17/17 | 3.37s (cem 0.35 refine 2.95 [60 steps] finals 0.05)
  [37/800] f104_crm_eval_group_0036 B z -8.129 (pess -7.889) -> G abstain | valid 17/17 | 3.38s (cem 0.37 refine 2.96 [60 steps] finals 0.05)
  [38/800] f104_crm_eval_group_0037 B z -7.946 (pess -7.585) -> G abstain | valid 17/17 | 3.39s (cem 0.36 refine 2.97 [60 steps] finals 0.05)
  [39/800] f104_crm_eval_group_0038 B z -8.186 (pess -7.790) -> G abstain | valid 17/17 | 3.38s (cem 0.35 refine 2.96 [60 steps] finals 0.05)
  [40/800] f104_crm_eval_group_0039 B z -8.022 (pess -7.637) -> G abstain | valid 17/17 | 3.36s (cem 0.36 refine 2.94 [60 steps] finals 0.05)
  [41/800] f104_crm_eval_group_0040 B z -8.230 (pess -7.916) -> G abstain | valid 17/17 | 3.44s (cem 0.37 refine 3.01 [60 steps] finals 0.05)
  [42/800] f104_crm_eval_group_0041 B z -8.235 (pess -7.929) -> G abstain | valid 17/17 | 3.41s (cem 0.35 refine 3.00 [60 steps] finals 0.05)
  [43/800] f104_crm_eval_group_0042 B z -8.118 (pess -7.895) -> G abstain | valid 17/17 | 3.38s (cem 0.37 refine 2.95 [60 steps] finals 0.05)
  [44/800] f104_crm_eval_group_0043 B z -8.119 (pess -7.850) -> G abstain | valid 17/17 | 3.38s (cem 0.37 refine 2.95 [60 steps] finals 0.05)
  [45/800] f104_crm_eval_group_0044 B z -7.980 (pess -7.705) -> G abstain | valid 17/17 | 3.41s (cem 0.37 refine 2.98 [60 steps] finals 0.05)
  [46/800] f104_crm_eval_group_0045 B z -8.137 (pess -7.897) -> G abstain | valid 17/17 | 3.39s (cem 0.38 refine 2.95 [60 steps] finals 0.05)
  [47/800] f104_crm_eval_group_0046 B z -8.131 (pess -7.755) -> G abstain | valid 17/17 | 3.47s (cem 0.36 refine 3.05 [60 steps] finals 0.05)
  [48/800] f104_crm_eval_group_0047 B z -8.034 (pess -7.809) -> G abstain | valid 17/17 | 3.41s (cem 0.36 refine 2.99 [60 steps] finals 0.05)
  [49/800] f104_crm_eval_group_0048 B z -8.248 (pess -7.939) -> G abstain | valid 17/17 | 3.40s (cem 0.36 refine 2.98 [60 steps] finals 0.05)
  [50/800] f104_crm_eval_group_0049 B z -8.135 (pess -7.886) -> G abstain | valid 17/17 | 3.46s (cem 0.39 refine 3.01 [60 steps] finals 0.05)
  [51/800] f104_crm_eval_group_0050 B z -8.201 (pess -7.930) -> G abstain | valid 17/17 | 3.45s (cem 0.38 refine 3.00 [60 steps] finals 0.05)
  [52/800] f104_crm_eval_group_0051 B z -8.207 (pess -7.847) -> G abstain | valid 17/17 | 3.42s (cem 0.36 refine 3.00 [60 steps] finals 0.05)
  [53/800] f104_crm_eval_group_0052 B z -8.214 (pess -7.946) -> G abstain | valid 17/17 | 3.43s (cem 0.38 refine 2.99 [60 steps] finals 0.05)
  [54/800] f104_crm_eval_group_0053 B z -7.980 (pess -7.547) -> G abstain | valid 17/17 | 3.41s (cem 0.35 refine 3.00 [60 steps] finals 0.05)
  [55/800] f104_crm_eval_group_0054 B z -7.656 (pess -7.156) -> G z -8.140 (pess -7.736) gain 0.577 from B/sample step 32 | valid 17/17 | 3.42s (cem 0.37 refine 2.99 [60 steps] finals 0.05)
  [56/800] f104_crm_eval_group_0055 B z -7.473 (pess -7.016) -> G z -7.903 (pess -7.713) gain 0.700 from B/sample step 37 | valid 17/17 | 3.40s (cem 0.36 refine 2.98 [60 steps] finals 0.05)
  [57/800] f104_crm_eval_group_0056 B z -8.155 (pess -7.794) -> G abstain | valid 17/17 | 3.40s (cem 0.36 refine 2.98 [60 steps] finals 0.05)
