ci_grad: 5 members from artifacts/traverse/crm_improve_20260922/deploy_v1/deploy_a1_haux_gru_s*.pt on cuda: kinds ['ci_train'] conds ['hist_aux'] hist_T 40; steps 60 starts 17 lr 0.02/0.1 keep pessimistic abstain 0.3
  [29/800] f104_crm_eval_group_0028 B z -13.387 (pess -13.152) -> G z -13.558 (pess -13.475) gain 0.323 from B/sample step 55 | valid 17/17 | 2.55s (cem 0.35 refine 2.14 [60 steps] finals 0.05)
  [30/800] f104_crm_eval_group_0029 B z -13.125 (pess -12.556) -> G z -13.346 (pess -13.215) gain 0.657 from B/sample step 44 | valid 17/17 | 2.58s (cem 0.38 refine 2.14 [60 steps] finals 0.05)
  [31/800] f104_crm_eval_group_0030 B z -13.178 (pess -12.887) -> G abstain | valid 17/17 | 2.56s (cem 0.35 refine 2.15 [60 steps] finals 0.05)
  [32/800] f104_crm_eval_group_0031 B z -12.670 (pess -11.682) -> G z -12.825 (pess -12.005) gain 0.325 from B/sample step 23 | valid 17/17 | 2.55s (cem 0.35 refine 2.15 [60 steps] finals 0.05)
  [33/800] f104_crm_eval_group_0032 B z -13.312 (pess -13.028) -> G abstain | valid 17/17 | 2.61s (cem 0.37 refine 2.18 [60 steps] finals 0.06)
  [34/800] f104_crm_eval_group_0033 B z -11.076 (pess -9.569) -> G z -12.412 (pess -12.301) gain 2.733 from B/sample step 49 | valid 17/17 | 2.59s (cem 0.36 refine 2.17 [60 steps] finals 0.05)
  [35/800] f104_crm_eval_group_0034 B z -11.899 (pess -10.325) -> G z -13.134 (pess -12.802) gain 2.476 from B/sample step 36 | valid 17/17 | 2.59s (cem 0.36 refine 2.17 [60 steps] finals 0.05)
  [36/800] f104_crm_eval_group_0035 B z -8.098 (pess -5.057) -> G z -10.902 (pess -9.862) gain 4.805 from round0/sample step 60 | valid 17/17 | 2.59s (cem 0.35 refine 2.17 [60 steps] finals 0.05)
  [37/800] f104_crm_eval_group_0036 B z -11.280 (pess -10.306) -> G z -12.528 (pess -11.860) gain 1.554 from round0/sample step 60 | valid 17/17 | 2.55s (cem 0.36 refine 2.14 [60 steps] finals 0.05)
  [38/800] f104_crm_eval_group_0037 B z -10.898 (pess -9.960) -> G z -11.793 (pess -10.367) gain 0.409 from round0/sample step 60 | valid 17/17 | 2.58s (cem 0.36 refine 2.15 [60 steps] finals 0.05)
  [39/800] f104_crm_eval_group_0038 B z -11.992 (pess -11.057) -> G z -12.597 (pess -12.161) gain 1.105 from B/sample step 7 | valid 17/17 | 2.62s (cem 0.36 refine 2.20 [60 steps] finals 0.05)
  [40/800] f104_crm_eval_group_0039 B z -11.102 (pess -9.986) -> G z -12.156 (pess -11.527) gain 1.540 from round0/sample step 58 | valid 17/17 | 2.56s (cem 0.36 refine 2.15 [60 steps] finals 0.05)
  [41/800] f104_crm_eval_group_0040 B z -13.417 (pess -13.191) -> G abstain | valid 17/17 | 2.84s (cem 0.38 refine 2.39 [60 steps] finals 0.06)
  [42/800] f104_crm_eval_group_0041 B z -12.887 (pess -12.325) -> G z -13.292 (pess -13.184) gain 0.860 from round0/anchor step 60 | valid 17/17 | 2.86s (cem 0.36 refine 2.43 [60 steps] finals 0.06)
  [43/800] f104_crm_eval_group_0042 B z -12.950 (pess -11.956) -> G z -12.997 (pess -12.291) gain 0.334 from B/sample step 48 | valid 17/17 | 2.90s (cem 0.38 refine 2.45 [60 steps] finals 0.05)
  [44/800] f104_crm_eval_group_0043 B z -12.070 (pess -10.093) -> G z -12.575 (pess -11.773) gain 1.680 from round0/sample step 34 | valid 17/17 | 2.78s (cem 0.39 refine 2.32 [60 steps] finals 0.05)
  [45/800] f104_crm_eval_group_0044 B z -11.337 (pess -7.492) -> G z -13.460 (pess -13.327) gain 5.833 from B/sample step 53 | valid 17/17 | 2.62s (cem 0.36 refine 2.20 [60 steps] finals 0.05)
  [46/800] f104_crm_eval_group_0045 B z -12.550 (pess -11.303) -> G z -13.040 (pess -12.754) gain 1.452 from round0/sample step 58 | valid 17/17 | 2.60s (cem 0.38 refine 2.16 [60 steps] finals 0.05)
  [47/800] f104_crm_eval_group_0046 B z -12.230 (pess -9.981) -> G z -13.061 (pess -12.509) gain 2.527 from round0/sample step 55 | valid 17/17 | 2.59s (cem 0.37 refine 2.16 [60 steps] finals 0.05)
  [48/800] f104_crm_eval_group_0047 B z -12.644 (pess -12.272) -> G z -12.892 (pess -12.766) gain 0.493 from B/sample step 18 | valid 17/17 | 2.58s (cem 0.35 refine 2.17 [60 steps] finals 0.05)
  [49/800] f104_crm_eval_group_0048 B z -13.213 (pess -12.757) -> G z -13.388 (pess -13.079) gain 0.323 from B/sample step 45 | valid 17/17 | 2.58s (cem 0.35 refine 2.17 [60 steps] finals 0.05)
  [50/800] f104_crm_eval_group_0049 B z -12.816 (pess -12.464) -> G abstain | valid 17/17 | 2.59s (cem 0.36 refine 2.16 [60 steps] finals 0.05)
  [51/800] f104_crm_eval_group_0050 B z -13.100 (pess -12.610) -> G z -13.298 (pess -13.230) gain 0.620 from round0/anchor step 59 | valid 17/17 | 2.57s (cem 0.35 refine 2.16 [60 steps] finals 0.05)
  [52/800] f104_crm_eval_group_0051 B z -13.278 (pess -12.975) -> G abstain | valid 17/17 | 2.56s (cem 0.34 refine 2.15 [60 steps] finals 0.05)
  [53/800] f104_crm_eval_group_0052 B z -12.948 (pess -12.573) -> G z -13.284 (pess -13.095) gain 0.523 from B/sample step 17 | valid 17/17 | 2.58s (cem 0.35 refine 2.16 [60 steps] finals 0.05)
  [54/800] f104_crm_eval_group_0053 B z -11.361 (pess -10.333) -> G z -12.531 (pess -12.121) gain 1.789 from B/sample step 60 | valid 17/17 | 2.56s (cem 0.35 refine 2.14 [60 steps] finals 0.05)
  [55/800] f104_crm_eval_group_0054 B z -11.092 (pess -10.622) -> G z -12.695 (pess -12.396) gain 1.773 from round0/sample step 44 | valid 17/17 | 2.58s (cem 0.36 refine 2.15 [60 steps] finals 0.05)
  [56/800] f104_crm_eval_group_0055 B z -8.547 (pess -6.862) -> G z -10.775 (pess -9.772) gain 2.909 from B/sample step 57 | valid 17/17 | 2.56s (cem 0.36 refine 2.15 [60 steps] finals 0.05)
  [57/800] f104_crm_eval_group_0056 B z -12.354 (pess -11.370) -> G z -13.013 (pess -12.531) gain 1.162 from round0/sample step 60 | valid 17/17 | 2.56s (cem 0.35 refine 2.15 [60 steps] finals 0.05)
  [58/800] f104_crm_eval_group_0057 B z -12.548 (pess -10.651) -> G z -12.953 (pess -12.404) gain 1.754 from B/sample step 25 | valid 17/17 | 2.56s (cem 0.35 refine 2.14 [60 steps] finals 0.05)
  [59/800] f104_crm_eval_group_0058 B z -13.241 (pess -13.116) -> G z -13.530 (pess -13.427) gain 0.311 from round0/sample step 49 | valid 17/17 | 2.56s (cem 0.36 refine 2.13 [60 steps] finals 0.06)
  [60/800] f104_crm_eval_group_0059 B z -12.698 (pess -11.338) -> G z -13.106 (pess -12.880) gain 1.541 from B/sample step 13 | valid 17/17 | 2.55s (cem 0.35 refine 2.15 [60 steps] finals 0.05)
  [61/800] f104_crm_eval_group_0060 B z -13.333 (pess -13.041) -> G z -13.523 (pess -13.362) gain 0.322 from round0/anchor step 60 | valid 17/17 | 2.61s (cem 0.38 refine 2.16 [60 steps] finals 0.05)
  [62/800] f104_crm_eval_group_0061 B z -12.549 (pess -11.890) -> G z -13.302 (pess -12.975) gain 1.084 from B/sample step 42 | valid 17/17 | 2.55s (cem 0.35 refine 2.14 [60 steps] finals 0.05)
  [63/800] f104_crm_eval_group_0062 B z -13.293 (pess -12.747) -> G z -13.467 (pess -13.358) gain 0.612 from B/sample step 55 | valid 17/17 | 2.55s (cem 0.35 refine 2.14 [60 steps] finals 0.05)
  [64/800] f104_crm_eval_group_0063 B z -12.538 (pess -10.748) -> G z -13.063 (pess -11.816) gain 1.066 from B/sample step 27 | valid 17/17 | 2.58s (cem 0.36 refine 2.15 [60 steps] finals 0.05)
  [65/800] f104_crm_eval_group_0064 B z -12.838 (pess -12.296) -> G z -13.146 (pess -12.892) gain 0.596 from round0/sample step 31 | valid 17/17 | 2.56s (cem 0.36 refine 2.14 [60 steps] finals 0.05)
  [66/800] f104_crm_eval_group_0065 B z -13.250 (pess -12.921) -> G abstain | valid 17/17 | 2.57s (cem 0.35 refine 2.15 [60 steps] finals 0.05)
  [67/800] f104_crm_eval_group_0066 B z -12.955 (pess -12.298) -> G z -13.372 (pess -13.292) gain 0.994 from round0/sample step 21 | valid 17/17 | 2.56s (cem 0.35 refine 2.14 [60 steps] finals 0.06)
  [68/800] f104_crm_eval_group_0067 B z -11.409 (pess -10.028) -> G z -12.713 (pess -12.196) gain 2.168 from B/sample step 49 | valid 17/17 | 2.59s (cem 0.37 refine 2.16 [60 steps] finals 0.05)
  [69/800] f104_crm_eval_group_0068 B z -13.435 (pess -13.290) -> G abstain | valid 17/17 | 2.56s (cem 0.36 refine 2.14 [60 steps] finals 0.05)
  [70/800] f104_crm_eval_group_0069 B z -13.416 (pess -13.214) -> G abstain | valid 17/17 | 2.56s (cem 0.36 refine 2.14 [60 steps] finals 0.06)
  [71/800] f104_crm_eval_group_0070 B z -13.089 (pess -12.472) -> G z -13.170 (pess -12.827) gain 0.356 from B/sample step 44 | valid 17/17 | 2.56s (cem 0.35 refine 2.14 [60 steps] finals 0.05)
  [72/800] f104_crm_eval_group_0071 B z -13.094 (pess -12.396) -> G z -13.601 (pess -13.545) gain 1.150 from B/sample step 60 | valid 17/17 | 2.63s (cem 0.39 refine 2.17 [60 steps] finals 0.05)
  [73/800] f104_crm_eval_group_0072 B z -9.424 (pess -7.811) -> G z -9.746 (pess -8.591) gain 0.783 from B/anchor step 60 | valid 17/17 | 2.59s (cem 0.37 refine 2.16 [60 steps] finals 0.06)
  [74/800] f104_crm_eval_group_0073 B z -6.928 (pess -2.724) -> G z -8.838 (pess -7.459) gain 4.737 from round0/sample step 49 | valid 17/17 | 2.58s (cem 0.35 refine 2.17 [60 steps] finals 0.05)
  [75/800] f104_crm_eval_group_0074 B z -10.955 (pess -9.845) -> G z -12.516 (pess -11.923) gain 2.076 from round0/sample step 60 | valid 17/17 | 2.57s (cem 0.35 refine 2.15 [60 steps] finals 0.05)
  [76/800] f104_crm_eval_group_0075 B z -12.032 (pess -11.114) -> G z -12.175 (pess -11.929) gain 0.816 from round0/sample step 60 | valid 17/17 | 2.56s (cem 0.35 refine 2.15 [60 steps] finals 0.05)
  [77/800] f104_crm_eval_group_0076 B z -13.071 (pess -12.054) -> G z -13.362 (pess -13.177) gain 1.123 from round0/anchor step 43 | valid 17/17 | 2.57s (cem 0.36 refine 2.14 [60 steps] finals 0.05)
