trial_id,split,scene_id,planning_mode,energy_weight_s_per_kj,artifact_valid,verified_schema_safe_goal,status,goal_time_s,elapsed_s,positive_work_kj,schema_contact,bounded_blockage_v1,planning_abstentions,commanded_zero_speed_pause_s
diverse_v1_test_rough_mosaic_00_selected_rgbd_time,test,diverse_v1_test_rough_mosaic_00,plan_once,0.0,True,False,timeout,,180.0,10270.302781354627,True,True,0,0.0
diverse_v1_test_valley_network_00_selected_rgbd_energy,test,diverse_v1_test_valley_network_00,plan_once,0.02,True,True,goal_reached,41.25,41.25,300.0831136086498,False,False,0,0.0
diverse_v1_test_valley_network_00_selected_rgbd_time,test,diverse_v1_test_valley_network_00,plan_once,0.0,True,True,goal_reached,41.25,41.25,301.1757900875604,False,False,0,0.0
diverse_v1_val_cross_slopes_00_energy002_once_last,val,diverse_v1_val_cross_slopes_00,plan_once,0.02,True,True,goal_reached,41.150000000000006,41.150000000000006,259.73822982247754,False,False,0,0.0
diverse_v1_val_cross_slopes_00_time_once_last,val,diverse_v1_val_cross_slopes_00,plan_once,0.0,True,True,goal_reached,41.900000000000006,41.900000000000006,260.85550979021093,False,False,0,0.0
diverse_v1_val_mixed_obstacles_00_energy002_once_last,val,diverse_v1_val_mixed_obstacles_00,plan_once,0.02,True,False,timeout,,180.0,10585.001474538896,True,True,0,0.0
diverse_v1_val_mixed_obstacles_00_time_once_last,val,diverse_v1_val_mixed_obstacles_00,plan_once,0.0,True,True,goal_reached,41.900000000000006,41.900000000000006,269.456733701587,False,False,0,0.0
diverse_v1_val_ridge_passes_00_energy002_once_last,val,diverse_v1_val_ridge_passes_00,plan_once,0.02,True,True,goal_reached,41.25,41.25,244.13576777037864,False,False,0,0.0
diverse_v1_val_ridge_passes_00_time_once_last,val,diverse_v1_val_ridge_passes_00,plan_once,0.0,True,True,goal_reached,41.25,41.25,245.63660920436382,False,False,0,0.0
diverse_v1_val_rolling_hills_00_energy002_once_last,val,diverse_v1_val_rolling_hills_00,plan_once,0.02,True,True,goal_reached,41.2,41.2,335.6631285883122,False,False,0,0.0
diverse_v1_val_rolling_hills_00_time_once_last,val,diverse_v1_val_rolling_hills_00,plan_once,0.0,True,True,goal_reached,41.2,41.2,336.8807763117532,False,False,0,0.0
diverse_v1_val_rough_mosaic_00_energy002_once_last,val,diverse_v1_val_rough_mosaic_00,plan_once,0.02,True,False,timeout,,180.0,6180.100821461297,True,True,0,0.0
diverse_v1_val_rough_mosaic_00_time_once_last,val,diverse_v1_val_rough_mosaic_00,plan_once,0.0,True,False,timeout,,180.0,941.7477802849362,True,True,0,0.0
diverse_v1_val_valley_network_00_energy002_once_last,val,diverse_v1_val_valley_network_00,plan_once,0.02,True,True,goal_reached,41.150000000000006,41.150000000000006,290.63179200978607,False,False,0,0.0
diverse_v1_val_valley_network_00_time_once_last,val,diverse_v1_val_valley_network_00,plan_once,0.0,True,True,goal_reached,41.900000000000006,41.900000000000006,290.2344758231513,False,False,0,0.0
