first_frame_s,host,label,moving_max_s,moving_median_s,moving_min_s,partition,probe_frozen_median_s,probe_frozen_worker_cpu_s,probe_moving_main_cpu_s,probe_moving_median_s,probe_rebuild_extra_s,probe_threads_in_process,probe_trace_cpu_us_per_pixel,scene_build_s,size,static_median_s,take_median_s,threads,update_median_s,valid_fraction,with_rgb
4.6886538551189005,k006-005-v4.hpcfund,lvp_2101_lp16_1024,2.795652780914679,2.6962632129434496,2.6842974959872663,mi2101x,1.9137024742085487,28.530000000000005,0.6999999999999957,2.7296649999916553,0.8159625257831067,35,27.208328247070316,0.7145479889586568,1024,2.7594745638780296,0.0007047820836305618,16,2.695551957935095,0.7001590728759766,False
8.073308348888531,k006-005-v4.hpcfund,lvp_2101_lp16_1024_rgb,6.713202609214932,6.611917695961893,6.575588623061776,mi2101x,5.838743886910379,84.80999999999999,0.7000000000000028,6.762119345832616,0.9233754589222372,35,80.88111877441405,0.6356219209264964,1024,6.699352656956762,0.010517811169847846,16,6.602886396925896,0.7001590728759766,True
2.2967516840435565,k006-004-v3.hpcfund,lvp_2101_lp16_256,1.0700381700880826,0.8723388009238988,0.8546571691986173,mi2101x,0.12289065914228559,1.82,0.6799999999999997,0.9268845720216632,0.8039939128793776,35,27.77099609375,0.6026893069501966,256,0.920898170908913,0.0001900580246001482,16,0.8721787300892174,0.7004547119140625,False
3.024422949878499,k006-005-v4.hpcfund,lvp_2101_lp16_512,1.382244649110362,1.2806032840162516,1.2588938979897648,mi2101x,0.48950185300782323,7.2299999999999995,0.6700000000000017,1.2712123850360513,0.781710532028228,35,27.58026123046875,0.6753049360122532,512,1.3523645219393075,0.0007694149389863014,16,1.2798644970171154,0.6998863220214844,False
31.028087889077142,k006-005-v4.hpcfund,lvp_2101_lp1_1024,29.63148232991807,29.52103212894872,29.277919203974307,mi2101x,28.657392896013334,28.639999999999986,0.6799999999999997,29.482560731936246,0.8251678359229118,5,27.313232421874986,0.6211429249960929,1024,29.42739578895271,0.0007421940099447966,1,29.520343797048554,0.7001590728759766,False
9.768695735139772,k006-005-v4.hpcfund,lvp_2101_lp1_512,8.418196209939197,7.9780393990222365,7.964257686166093,mi2101x,7.213812239002436,7.210000000000001,0.6700000000000017,7.965004068100825,0.7511918290983886,5,27.503967285156254,0.6568442489951849,512,8.053394644055516,0.000497280852869153,1,7.977477275999263,0.6998863220214844,False
9.760807225946337,k006-004-v8.hpcfund,lvp_2101_lp4_1024,8.489433672977611,8.429713956080377,8.41070119291544,mi2101x,7.69912981800735,29.35,0.6000000000000014,8.18844181811437,0.48931200010702014,11,27.990341186523438,0.6025535499211401,1024,8.46685389103368,0.0006549949757754803,4,8.42909014900215,0.7001590728759766,False
4.314714600099251,k006-005-v4.hpcfund,lvp_2101_lp4_512,2.760632047895342,2.6769360192120075,2.662243084050715,mi2101x,1.9148094891570508,7.260000000000002,0.6799999999999997,2.7073393759783357,0.7925298868212849,11,27.694702148437507,0.6630234061740339,512,2.7167590691242367,0.0005298210307955742,4,2.676351304166019,0.6998863220214844,False
6.407035043928772,k006-005-v4.hpcfund,lvp_2101_lp8_1024,4.61093090986833,4.5811125508043915,4.572377983015031,mi2101x,3.803343638079241,28.839999999999996,0.6599999999999966,4.55338360182941,0.7500399637501687,19,27.503967285156246,0.6208368609659374,1024,4.652605851879343,0.0007177968509495258,8,4.580394753953442,0.7001590728759766,False
3.38871957315132,k006-005-v4.hpcfund,lvp_2101_lp8_512,1.7676920080557466,1.741058861138299,1.7339577320963144,mi2101x,0.986671038903296,7.49,0.6799999999999997,1.7617309130728245,0.7750598741695285,19,28.57208251953125,0.6523721171543002,512,1.819369233911857,0.0007908758707344532,8,1.740241064922884,0.6998863220214844,False
2.3752518659457564,k005-002.hpcfund,lvp_2104_lp128_1024,1.4402628520037979,1.4270959219429642,1.4163440789561719,mi2104x,0.9391656570369378,26.92,0.41999999999999815,1.4357605910627171,0.49659493402577937,67,25.67291259765625,0.41586097597610205,1024,1.4684394130017608,0.0003872639499604702,128,1.4267165729543194,0.7001590728759766,False
3.2689737130422145,k005-002.hpcfund,lvp_2104_lp16_1024,2.3021027309587225,2.294461407000199,2.284193578059785,mi2104x,1.8169825040968135,26.529999999999994,0.4200000000000017,2.3018382500158623,0.4848557459190488,35,25.300979614257805,0.4222681090468541,1024,2.3307220599381253,0.000419996096752584,16,2.2928193770349026,0.7001590728759766,False
2.3759392029605806,k005-002.hpcfund,lvp_2104_lp32_1024,1.4569328479701653,1.4353964999318123,1.4199611250078306,mi2104x,0.9374800170771778,27.089999999999996,0.4200000000000017,1.4552989929215983,0.5178189758444205,67,25.83503723144531,0.4157049230998382,1024,1.4698258010903373,0.00045345898251980543,32,1.4349378409096971,0.7001590728759766,False
2.3909530469682068,k005-002.hpcfund,lvp_2104_lp64_1024,1.4417540379799902,1.4339248549658805,1.4294991330243647,mi2104x,0.9347778559895232,27.009999999999998,0.4299999999999997,1.4435421420494094,0.5087642860598862,67,25.75874328613281,0.42210270499344915,1024,1.4710003810469061,0.0004169719759374857,64,1.433507882989943,0.7001590728759766,False
