ci_grad: 5 members from artifacts/traverse/crm_improve_20260922/deploy_v1/deploy_a3_haux_txjoint_s*.pt on cuda: kinds ['ci_train'] conds ['hist_aux'] hist_T 40; steps 60 starts 17 lr 0.02/0.1 keep pessimistic abstain 0.3
  [36/800] f104_crm_eval_group_0035 B z -7.630 (pess -7.261) -> G z -7.732 (pess -7.610) gain 0.350 from B/sample step 6 | valid 17/17 | 3.36s (cem 0.36 refine 2.94 [60 steps] finals 0.05)
  [37/800] f104_crm_eval_group_0036 B z -8.157 (pess -7.938) -> G abstain | valid 17/17 | 3.37s (cem 0.37 refine 2.93 [60 steps] finals 0.05)
  [38/800] f104_crm_eval_group_0037 B z -7.941 (pess -7.727) -> G abstain | valid 17/17 | 3.35s (cem 0.36 refine 2.93 [60 steps] finals 0.05)
  [39/800] f104_crm_eval_group_0038 B z -8.148 (pess -7.723) -> G abstain | valid 17/17 | 3.35s (cem 0.36 refine 2.94 [60 steps] finals 0.05)
  [40/800] f104_crm_eval_group_0039 B z -8.024 (pess -7.589) -> G abstain | valid 17/17 | 3.36s (cem 0.37 refine 2.93 [60 steps] finals 0.05)
  [41/800] f104_crm_eval_group_0040 B z -8.253 (pess -7.931) -> G abstain | valid 17/17 | 3.38s (cem 0.36 refine 2.95 [60 steps] finals 0.05)
  [42/800] f104_crm_eval_group_0041 B z -8.251 (pess -7.933) -> G abstain | valid 17/17 | 3.41s (cem 0.36 refine 2.99 [60 steps] finals 0.05)
  [43/800] f104_crm_eval_group_0042 B z -8.107 (pess -7.915) -> G abstain | valid 17/17 | 3.36s (cem 0.36 refine 2.94 [60 steps] finals 0.05)
  [44/800] f104_crm_eval_group_0043 B z -8.143 (pess -7.848) -> G abstain | valid 17/17 | 3.39s (cem 0.37 refine 2.96 [60 steps] finals 0.05)
  [45/800] f104_crm_eval_group_0044 B z -8.091 (pess -7.757) -> G abstain | valid 17/17 | 3.39s (cem 0.36 refine 2.97 [60 steps] finals 0.05)
  [46/800] f104_crm_eval_group_0045 B z -8.079 (pess -7.907) -> G abstain | valid 17/17 | 3.40s (cem 0.38 refine 2.96 [60 steps] finals 0.05)
  [47/800] f104_crm_eval_group_0046 B z -8.149 (pess -7.781) -> G abstain | valid 17/17 | 3.40s (cem 0.36 refine 2.98 [60 steps] finals 0.05)
  [48/800] f104_crm_eval_group_0047 B z -8.043 (pess -7.799) -> G abstain | valid 17/17 | 3.36s (cem 0.36 refine 2.94 [60 steps] finals 0.05)
  [49/800] f104_crm_eval_group_0048 B z -8.276 (pess -7.944) -> G abstain | valid 17/17 | 3.36s (cem 0.36 refine 2.94 [60 steps] finals 0.05)
  [50/800] f104_crm_eval_group_0049 B z -8.184 (pess -7.911) -> G abstain | valid 17/17 | 3.39s (cem 0.37 refine 2.96 [60 steps] finals 0.05)
  [51/800] f104_crm_eval_group_0050 B z -8.230 (pess -7.930) -> G abstain | valid 17/17 | 3.37s (cem 0.36 refine 2.94 [60 steps] finals 0.05)
  [52/800] f104_crm_eval_group_0051 B z -8.256 (pess -7.949) -> G abstain | valid 17/17 | 3.37s (cem 0.36 refine 2.96 [60 steps] finals 0.05)
  [53/800] f104_crm_eval_group_0052 B z -8.234 (pess -7.955) -> G abstain | valid 17/17 | 3.39s (cem 0.37 refine 2.97 [60 steps] finals 0.05)
  [54/800] f104_crm_eval_group_0053 B z -7.979 (pess -7.522) -> G abstain | valid 17/17 | 3.37s (cem 0.36 refine 2.95 [60 steps] finals 0.05)
  [55/800] f104_crm_eval_group_0054 B z -7.717 (pess -7.200) -> G z -8.177 (pess -7.745) gain 0.544 from B/sample step 59 | valid 17/17 | 3.37s (cem 0.37 refine 2.94 [60 steps] finals 0.05)
  [56/800] f104_crm_eval_group_0055 B z -7.560 (pess -7.199) -> G z -7.896 (pess -7.692) gain 0.494 from B/sample step 20 | valid 17/17 | 3.36s (cem 0.37 refine 2.93 [60 steps] finals 0.05)
  [57/800] f104_crm_eval_group_0056 B z -8.181 (pess -7.810) -> G abstain | valid 17/17 | 3.37s (cem 0.35 refine 2.95 [60 steps] finals 0.05)
  [58/800] f104_crm_eval_group_0057 B z -8.257 (pess -7.922) -> G abstain | valid 17/17 | 3.38s (cem 0.37 refine 2.95 [60 steps] finals 0.05)
  [59/800] f104_crm_eval_group_0058 B z -8.279 (pess -7.958) -> G abstain | valid 17/17 | 3.37s (cem 0.37 refine 2.93 [60 steps] finals 0.05)
  [60/800] f104_crm_eval_group_0059 B z -8.192 (pess -7.944) -> G abstain | valid 17/17 | 3.41s (cem 0.36 refine 2.99 [60 steps] finals 0.05)
  [61/800] f104_crm_eval_group_0060 B z -8.303 (pess -7.954) -> G abstain | valid 17/17 | 3.37s (cem 0.36 refine 2.95 [60 steps] finals 0.05)
  [62/800] f104_crm_eval_group_0061 B z -8.172 (pess -7.800) -> G abstain | valid 17/17 | 3.35s (cem 0.36 refine 2.94 [60 steps] finals 0.05)
  [63/800] f104_crm_eval_group_0062 B z -8.262 (pess -7.899) -> G abstain | valid 17/17 | 3.38s (cem 0.36 refine 2.96 [60 steps] finals 0.05)
  [64/800] f104_crm_eval_group_0063 B z -8.134 (pess -7.705) -> G abstain | valid 17/17 | 3.38s (cem 0.36 refine 2.95 [60 steps] finals 0.05)
  [65/800] f104_crm_eval_group_0064 B z -8.103 (pess -7.768) -> G abstain | valid 17/17 | 3.36s (cem 0.36 refine 2.93 [60 steps] finals 0.05)
  [66/800] f104_crm_eval_group_0065 B z -8.089 (pess -7.848) -> G abstain | valid 17/17 | 3.37s (cem 0.36 refine 2.94 [60 steps] finals 0.05)
  [67/800] f104_crm_eval_group_0066 B z -8.177 (pess -7.903) -> G abstain | valid 17/17 | 3.39s (cem 0.36 refine 2.96 [60 steps] finals 0.05)
  [68/800] f104_crm_eval_group_0067 B z -8.169 (pess -7.854) -> G abstain | valid 17/17 | 3.36s (cem 0.36 refine 2.94 [60 steps] finals 0.05)
  [69/800] f104_crm_eval_group_0068 B z -8.268 (pess -7.931) -> G abstain | valid 17/17 | 3.36s (cem 0.37 refine 2.94 [60 steps] finals 0.05)
  [70/800] f104_crm_eval_group_0069 B z -8.291 (pess -7.951) -> G abstain | valid 17/17 | 3.37s (cem 0.36 refine 2.94 [60 steps] finals 0.05)
  [71/800] f104_crm_eval_group_0070 B z -8.293 (pess -7.945) -> G abstain | valid 17/17 | 3.37s (cem 0.36 refine 2.95 [60 steps] finals 0.05)
  [72/800] f104_crm_eval_group_0071 B z -8.259 (pess -7.916) -> G abstain | valid 17/17 | 3.38s (cem 0.38 refine 2.94 [60 steps] finals 0.05)
  [73/800] f104_crm_eval_group_0072 B z -7.783 (pess -7.538) -> G abstain | valid 17/17 | 3.39s (cem 0.38 refine 2.94 [60 steps] finals 0.05)
  [74/800] f104_crm_eval_group_0073 B z -7.370 (pess -6.887) -> G z -7.659 (pess -7.485) gain 0.598 from B/mean step 10 | valid 17/17 | 3.36s (cem 0.36 refine 2.94 [60 steps] finals 0.05)
  [75/800] f104_crm_eval_group_0074 B z -8.229 (pess -7.884) -> G abstain | valid 17/17 | 3.39s (cem 0.36 refine 2.96 [60 steps] finals 0.05)
  [76/800] f104_crm_eval_group_0075 B z -7.919 (pess -7.656) -> G abstain | valid 17/17 | 3.36s (cem 0.37 refine 2.93 [60 steps] finals 0.05)
  [77/800] f104_crm_eval_group_0076 B z -8.201 (pess -7.854) -> G abstain | valid 17/17 | 3.36s (cem 0.36 refine 2.94 [60 steps] finals 0.05)
  [78/800] f104_crm_eval_group_0077 B z -8.186 (pess -7.891) -> G abstain | valid 17/17 | 3.42s (cem 0.36 refine 3.01 [60 steps] finals 0.05)
  [79/800] f104_crm_eval_group_0078 B z -8.135 (pess -7.866) -> G abstain | valid 17/17 | 3.37s (cem 0.36 refine 2.94 [60 steps] finals 0.05)
  [80/800] f104_crm_eval_group_0079 B z -8.273 (pess -7.933) -> G abstain | valid 17/17 | 3.37s (cem 0.38 refine 2.93 [60 steps] finals 0.05)
  [81/800] f104_crm_eval_group_0080 B z -8.257 (pess -7.910) -> G abstain | valid 17/17 | 3.38s (cem 0.36 refine 2.96 [60 steps] finals 0.05)
  [82/800] f104_crm_eval_group_0081 B z -8.271 (pess -7.933) -> G abstain | valid 17/17 | 3.37s (cem 0.37 refine 2.93 [60 steps] finals 0.05)
  [83/800] f104_crm_eval_group_0082 B z -7.904 (pess -7.608) -> G abstain | valid 17/17 | 3.36s (cem 0.36 refine 2.94 [60 steps] finals 0.05)
  [84/800] f104_crm_eval_group_0083 B z -4.369 (pess -3.363) -> G z -6.492 (pess -5.698) gain 2.332 from B/sample step 43 | valid 17/17 | 3.37s (cem 0.37 refine 2.94 [60 steps] finals 0.05)
  [85/800] f104_crm_eval_group_0084 B z -5.969 (pess -3.051) -> G z -7.433 (pess -6.923) gain 3.876 from B/sample step 45 | valid 17/17 | 3.37s (cem 0.37 refine 2.94 [60 steps] finals 0.05)
  [86/800] f104_crm_eval_group_0085 B z -7.950 (pess -7.537) -> G abstain | valid 17/17 | 3.35s (cem 0.36 refine 2.93 [60 steps] finals 0.05)
  [87/800] f104_crm_eval_group_0086 B z -8.147 (pess -7.832) -> G abstain | valid 17/17 | 3.35s (cem 0.36 refine 2.93 [60 steps] finals 0.05)
  [88/800] f104_crm_eval_group_0087 B z -8.067 (pess -7.759) -> G abstain | valid 17/17 | 3.37s (cem 0.37 refine 2.94 [60 steps] finals 0.05)
  [89/800] f104_crm_eval_group_0088 B z -8.238 (pess -7.896) -> G abstain | valid 17/17 | 3.36s (cem 0.37 refine 2.93 [60 steps] finals 0.05)
  [90/800] f104_crm_eval_group_0089 B z -8.212 (pess -7.891) -> G abstain | valid 17/17 | 3.37s (cem 0.36 refine 2.95 [60 steps] finals 0.05)
  [91/800] f104_crm_eval_group_0090 B z -8.188 (pess -7.941) -> G abstain | valid 17/17 | 3.37s (cem 0.37 refine 2.94 [60 steps] finals 0.05)
  [92/800] f104_crm_eval_group_0091 B z -8.080 (pess -7.777) -> G abstain | valid 17/17 | 3.37s (cem 0.37 refine 2.94 [60 steps] finals 0.05)
  [93/800] f104_crm_eval_group_0092 B z -7.105 (pess -6.593) -> G z -7.291 (pess -7.029) gain 0.437 from round0/sample step 29 | valid 17/17 | 3.38s (cem 0.36 refine 2.96 [60 steps] finals 0.05)
  [94/800] f104_crm_eval_group_0093 B z -7.456 (pess -7.027) -> G z -7.779 (pess -7.362) gain 0.335 from B/sample step 57 | valid 17/17 | 3.34s (cem 0.37 refine 2.91 [60 steps] finals 0.05)
  [95/800] f104_crm_eval_group_0094 B z -8.138 (pess -7.882) -> G abstain | valid 17/17 | 3.37s (cem 0.36 refine 2.95 [60 steps] finals 0.05)
  [96/800] f104_crm_eval_group_0095 B z -7.469 (pess -5.783) -> G z -8.127 (pess -7.819) gain 2.039 from round0/anchor step 57 | valid 17/17 | 3.39s (cem 0.38 refine 2.96 [60 steps] finals 0.05)
  [97/800] f104_crm_eval_group_0096 B z -8.151 (pess -7.876) -> G abstain | valid 17/17 | 3.37s (cem 0.37 refine 2.94 [60 steps] finals 0.05)
  [98/800] f104_crm_eval_group_0097 B z -8.162 (pess -7.872) -> G abstain | valid 17/17 | 3.36s (cem 0.36 refine 2.94 [60 steps] finals 0.05)
  [99/800] f104_crm_eval_group_0098 B z -8.012 (pess -7.419) -> G z -8.153 (pess -7.725) gain 0.306 from B/sample step 28 | valid 17/17 | 3.38s (cem 0.36 refine 2.95 [60 steps] finals 0.05)
  [100/800] f104_crm_eval_group_0099 B z -8.244 (pess -7.930) -> G abstain | valid 17/17 | 3.35s (cem 0.35 refine 2.93 [60 steps] finals 0.05)
  [101/800] f104_crm_eval_group_0100 B z -8.244 (pess -7.917) -> G abstain | valid 17/17 | 3.36s (cem 0.36 refine 2.94 [60 steps] finals 0.05)
  [102/800] f104_crm_eval_group_0101 B z -8.187 (pess -7.822) -> G abstain | valid 17/17 | 3.35s (cem 0.35 refine 2.94 [60 steps] finals 0.05)
  [103/800] f104_crm_eval_group_0102 B z -8.185 (pess -7.810) -> G abstain | valid 17/17 | 3.36s (cem 0.36 refine 2.94 [60 steps] finals 0.05)
  [104/800] f104_crm_eval_group_0103 B z -8.274 (pess -7.939) -> G abstain | valid 17/17 | 3.37s (cem 0.36 refine 2.96 [60 steps] finals 0.05)
  [105/800] f104_crm_eval_group_0104 B z -8.143 (pess -7.825) -> G abstain | valid 17/17 | 3.39s (cem 0.38 refine 2.95 [60 steps] finals 0.05)
  [106/800] f104_crm_eval_group_0105 B z -8.113 (pess -7.907) -> G abstain | valid 17/17 | 3.40s (cem 0.36 refine 2.97 [60 steps] finals 0.05)
  [107/800] f104_crm_eval_group_0106 B z -8.226 (pess -7.871) -> G abstain | valid 17/17 | 3.36s (cem 0.36 refine 2.94 [60 steps] finals 0.05)
  [108/800] f104_crm_eval_group_0107 B z -8.219 (pess -7.913) -> G abstain | valid 17/17 | 3.37s (cem 0.37 refine 2.94 [60 steps] finals 0.05)
  [109/800] f104_crm_eval_group_0108 B z -8.206 (pess -7.948) -> G abstain | valid 17/17 | 3.41s (cem 0.39 refine 2.95 [60 steps] finals 0.05)
  [110/800] f104_crm_eval_group_0109 B z -8.026 (pess -7.713) -> G abstain | valid 17/17 | 3.38s (cem 0.37 refine 2.95 [60 steps] finals 0.05)
  [111/800] f104_crm_eval_group_0110 B z -7.096 (pess -5.951) -> G z -8.104 (pess -7.842) gain 1.891 from round0/sample step 59 | valid 17/17 | 3.37s (cem 0.36 refine 2.95 [60 steps] finals 0.05)
  [112/800] f104_crm_eval_group_0111 B z -8.217 (pess -7.888) -> G abstain | valid 17/17 | 3.37s (cem 0.37 refine 2.93 [60 steps] finals 0.05)
  [113/800] f104_crm_eval_group_0112 B z -8.194 (pess -7.967) -> G abstain | valid 17/17 | 3.39s (cem 0.37 refine 2.96 [60 steps] finals 0.05)
  [114/800] f104_crm_eval_group_0113 B z -7.864 (pess -7.760) -> G abstain | valid 17/17 | 3.37s (cem 0.38 refine 2.93 [60 steps] finals 0.05)
