ci_grad: 5 members from artifacts/traverse/crm_improve_20260922/deploy_v1/deploy_a1_haux_gru_s*.pt on cuda: kinds ['ci_train'] conds ['hist_aux'] hist_T 40; steps 60 starts 17 lr 0.02/0.1 keep pessimistic abstain 0.3
  [1/800] f104_crm_eval_group_0000 B z -11.908 (pess -11.163) -> G z -13.093 (pess -12.218) gain 1.055 from round0/anchor step 54 | valid 17/17 | 3.88s (cem 0.76 refine 3.06 [60 steps] finals 0.06)
  [2/800] f104_crm_eval_group_0001 B z -13.319 (pess -12.965) -> G z -13.478 (pess -13.319) gain 0.353 from B/sample step 25 | valid 17/17 | 2.62s (cem 0.36 refine 2.20 [60 steps] finals 0.05)
  [3/800] f104_crm_eval_group_0002 B z -13.362 (pess -13.082) -> G abstain | valid 17/17 | 2.56s (cem 0.35 refine 2.15 [60 steps] finals 0.05)
  [4/800] f104_crm_eval_group_0003 B z -13.047 (pess -11.456) -> G z -13.258 (pess -12.642) gain 1.185 from B/mean step 42 | valid 17/17 | 2.56s (cem 0.36 refine 2.14 [60 steps] finals 0.05)
  [5/800] f104_crm_eval_group_0004 B z -12.731 (pess -11.537) -> G z -13.461 (pess -13.256) gain 1.719 from B/sample step 42 | valid 17/17 | 2.57s (cem 0.35 refine 2.15 [60 steps] finals 0.05)
  [6/800] f104_crm_eval_group_0005 B z -12.112 (pess -9.098) -> G z -13.026 (pess -12.378) gain 3.279 from B/sample step 40 | valid 17/17 | 2.59s (cem 0.35 refine 2.18 [60 steps] finals 0.05)
  [7/800] f104_crm_eval_group_0006 B z -12.267 (pess -11.843) -> G z -12.690 (pess -12.378) gain 0.535 from round0/sample step 47 | valid 17/17 | 2.57s (cem 0.34 refine 2.16 [60 steps] finals 0.05)
  [8/800] f104_crm_eval_group_0007 B z -12.768 (pess -12.495) -> G z -13.184 (pess -13.029) gain 0.534 from B/sample step 25 | valid 17/17 | 2.58s (cem 0.35 refine 2.16 [60 steps] finals 0.05)
  [9/800] f104_crm_eval_group_0008 B z -13.184 (pess -12.869) -> G z -13.416 (pess -13.253) gain 0.383 from B/mean step 19 | valid 17/17 | 2.55s (cem 0.36 refine 2.14 [60 steps] finals 0.05)
  [10/800] f104_crm_eval_group_0009 B z -13.191 (pess -13.058) -> G abstain | valid 17/17 | 2.56s (cem 0.35 refine 2.15 [60 steps] finals 0.05)
  [11/800] f104_crm_eval_group_0010 B z -10.867 (pess -8.737) -> G z -11.919 (pess -11.271) gain 2.531 from round0/sample step 60 | valid 17/17 | 2.57s (cem 0.35 refine 2.16 [60 steps] finals 0.05)
  [12/800] f104_crm_eval_group_0011 B z -12.873 (pess -11.968) -> G z -13.284 (pess -13.016) gain 1.051 from B/sample step 51 | valid 17/17 | 2.59s (cem 0.36 refine 2.17 [60 steps] finals 0.05)
  [13/800] f104_crm_eval_group_0012 B z -12.935 (pess -12.663) -> G abstain | valid 17/17 | 2.57s (cem 0.36 refine 2.16 [60 steps] finals 0.05)
  [14/800] f104_crm_eval_group_0013 B z -8.194 (pess -6.811) -> G z -9.405 (pess -7.514) gain 0.702 from round0/sample step 60 | valid 17/17 | 2.61s (cem 0.36 refine 2.18 [60 steps] finals 0.05)
  [15/800] f104_crm_eval_group_0014 B z -10.474 (pess -9.516) -> G z -12.137 (pess -11.527) gain 2.011 from round0/sample step 60 | valid 17/17 | 2.57s (cem 0.36 refine 2.15 [60 steps] finals 0.05)
  [16/800] f104_crm_eval_group_0015 B z -13.252 (pess -12.782) -> G abstain | valid 17/17 | 2.59s (cem 0.36 refine 2.16 [60 steps] finals 0.06)
  [17/800] f104_crm_eval_group_0016 B z -12.355 (pess -10.761) -> G z -13.376 (pess -13.271) gain 2.509 from round0/anchor step 51 | valid 17/17 | 2.57s (cem 0.36 refine 2.15 [60 steps] finals 0.05)
  [18/800] f104_crm_eval_group_0017 B z -8.977 (pess -5.186) -> G z -11.507 (pess -9.041) gain 3.849 from B/sample step 37 | valid 17/17 | 2.57s (cem 0.36 refine 2.14 [60 steps] finals 0.05)
