trial_id,role,family_index,offset_m,cruise_mps,allowed_by_predicted_risk,cost,unfiltered_cost,estimated_time_to_goal_s,predicted_horizon_work_kj,estimated_route_work_kj,energy_cost_s,contact_probability,low_progress_probability,rollover_probability,predicted_peak_roll_deg,predicted_peak_pitch_deg,attitude_cost_s,predicted_goal_progress_m,contact_cost_s,bounded_cost_s,rollover_cost_s,progress_cost_s,prior_fixed_reference,prior_safe_goal,reference_arrays_exact,reference_waypoint_max_abs_difference_m,prior_outcome_is_same_policy_counterfactual
diverse_v1_test_rolling_hills_00_selected_rgbd_time,final_refined,,,,True,45.47749256429667,45.47749256429667,42.98105054743223,197.73207092285156,708.2276779319616,0.0,0.12749335169792175,0.017156772315502167,0.0008866293937899172,8.507380485534668,4.495046138763428,0.0,62.889608026498394,7.649601101875305,1.02940633893013,0.10639552725479007,-6.288960802649839,family_02,False,False,0.6823180724509319,False
diverse_v1_test_rolling_hills_00_selected_rgbd_time,sibling,0,0.0,2.0,True,118.26054533261002,118.26054533261002,119.24711885577909,143.21815490722656,1423.1960283772858,0.0,0.016404494643211365,0.004860793240368366,3.56846212525852e-05,7.362552642822266,4.8821702003479,0.0,22.667729396165015,0.9842696785926819,0.291647594422102,0.004282154550310224,-2.2667729396165015,family_00,False,True,0.0,False
diverse_v1_test_rolling_hills_00_selected_rgbd_time,sibling,1,0.0,2.0,True,118.2602116749196,118.2602116749196,119.24696314924469,143.20962524414062,1423.1094086754317,0.0,0.0164021085947752,0.004860257729887962,3.5687171475728974e-05,7.3616943359375,4.882569313049316,0.0,22.667758994516987,0.984126515686512,0.29161546379327774,0.004282460577087477,-2.266775899451699,family_00,False,False,0.004695408939465295,False
diverse_v1_test_rolling_hills_00_selected_rgbd_time,sibling,2,0.0,4.0,True,62.914294635582834,62.914294635582834,63.4100636339398,170.69578552246094,901.9858851687156,0.0,0.05242667719721794,0.010120021179318428,0.00011880280362674966,8.873147964477539,3.7510228157043457,0.0,42.62827170620173,3.1456006318330765,0.6072012707591057,0.01425633643520996,-4.262827170620173,family_01,False,False,0.004695408939465295,False
diverse_v1_test_rolling_hills_00_selected_rgbd_time,selected_parent,3,0.0,6.0,True,45.555277287739585,45.555277287739585,42.98273913617345,197.80453491210938,708.5150603399427,0.0,0.1284710317850113,0.017431193962693214,0.0008926525479182601,8.513846397399902,4.492390155792236,0.0,62.88713739093194,7.7082619071006775,1.0458716377615929,0.10711830575019121,-6.288713739093194,family_02,False,False,0.004695408939465295,False
diverse_v1_test_rolling_hills_00_selected_rgbd_time,sibling,4,-22.0,2.0,True,118.60122045088617,118.60122045088617,119.75083403557018,149.9789581298828,1496.6754436532772,0.0,0.014128356240689754,0.004267085809260607,3.24832035403233e-05,7.374817848205566,5.205599784851074,0.0,22.572380754293732,0.8477013744413853,0.2560251485556364,0.0038979844248387963,-2.2572380754293735,family_03,False,False,0.004688935228863045,False
diverse_v1_test_rolling_hills_00_selected_rgbd_time,sibling,5,-22.0,4.0,True,63.56216942893779,63.56216942893779,63.37565584227135,196.4622802734375,1037.5771550497693,0.0,0.06269479542970657,0.011155564337968826,0.00017194576503243297,6.856403350830078,4.712575435638428,0.0,42.65141536716365,3.7616877257823944,0.6693338602781296,0.020633491803891957,-4.265141536716365,family_04,False,False,0.004688935228863045,False
diverse_v1_test_rolling_hills_00_selected_rgbd_time,sibling,6,-22.0,6.0,True,49.28890501280776,49.28890501280776,45.53728160075196,242.89984130859375,921.7498728706163,0.0,0.1418933868408203,0.017990581691265106,0.0007876325398683548,9.568625450134277,4.353954792022705,0.0,59.35930574851204,8.513603210449219,1.0794349014759064,0.09451590478420258,-5.935930574851205,family_05,False,False,0.004688935228863045,False
diverse_v1_test_rolling_hills_00_selected_rgbd_time,sibling,7,22.0,2.0,True,120.7102348248477,120.7102348248477,121.66411438614206,145.83042907714844,1478.5275003518636,0.0,0.015833936631679535,0.005232369527220726,3.235860276618041e-05,7.686659336090088,4.876758575439453,0.0,22.2174092593651,0.9500361979007721,0.31394217163324356,0.0038830323319416493,-2.2217409259365097,family_06,False,False,0.004701882650067546,False
diverse_v1_test_rolling_hills_00_selected_rgbd_time,sibling,8,22.0,4.0,True,64.15260787691284,64.15260787691284,65.16260926762126,159.29798889160156,865.0227172717755,0.0,0.042966391891241074,0.009118556044995785,0.0001090020450646989,8.615950584411621,3.944228172302246,0.0,41.48178613280692,2.5779835134744644,0.5471133626997471,0.013080245407763869,-4.148178613280692,family_07,False,False,0.004701882650067546,False
diverse_v1_test_rolling_hills_00_selected_rgbd_time,sibling,9,22.0,6.0,False,,67.69987503769102,46.985778948996966,197.37518310546875,772.818893617613,0.0,0.39317238330841064,0.045726798474788666,0.001108998549170792,9.020264625549316,2.9589545726776123,0.0,57.52935211373847,23.59034299850464,2.74360790848732,0.13307982590049505,-5.752935211373847,family_08,False,False,0.004701882650067546,False
diverse_v1_test_rolling_hills_00_selected_rgbd_time,sibling,10,-44.0,2.0,True,121.87149958687012,121.87149958687012,123.18704913589583,168.22171020507812,1726.894673396449,0.0,0.010784465819597244,0.0038117696531116962,2.4586091967648827e-05,7.758931636810303,5.745188236236572,0.0,21.942740251154163,0.6470679491758347,0.22870617918670177,0.002950331036117859,-2.1942740251154165,family_09,True,False,0.004682498454727124,False
diverse_v1_test_rolling_hills_00_selected_rgbd_time,sibling,11,-44.0,4.0,True,64.97099641032403,64.97099641032403,66.99834512397825,210.17144775390625,1173.428265985198,0.0,0.02753269486129284,0.005663628689944744,0.00012826293823309243,6.4177327156066895,6.161585807800293,0.0,40.34519683274564,1.6519616916775703,0.33981772139668465,0.015391552587971091,-4.0345196832745644,family_10,True,False,0.004682498454727124,False
diverse_v1_test_rolling_hills_00_selected_rgbd_time,sibling,12,-44.0,6.0,True,45.83630214792093,45.83630214792093,47.1208168177292,264.7664794921875,1039.6677316355351,0.0,0.06271253526210785,0.009697332978248596,0.0008945155423134565,5.88932466506958,7.016005516052246,0.0,57.3644856783998,3.762752115726471,0.5818399786949158,0.10734186507761478,-5.736448567839981,family_11,True,False,0.004682498454727124,False
