trial_id,first_contact_s,launch_contact_probability,launch_bounded_probability,launch_measured_contact_in_horizon,launch_fde_m,first_audited_rejection_s,first_audited_rejection_with_horizon_hazard_s,precontact_false_accept_anchors_s,parent_cost,refined_cost,refinement_cost_change,best_prior_safe_similar_sibling_index,best_prior_safe_similar_sibling_cost,first_audited_rejection_is_before_contact_enters_horizon,full_goal_safe
diverse_v1_test_rolling_hills_00_selected_rgbd_time,29.700000000000003,0.12749335169792175,0.017156772315502167,False,6.515549659729004,11.450000000000001,17.75,[],45.555277287739585,45.47749256429667,-0.07778472344291743,12,45.83630214792093,True,False
diverse_v1_test_rolling_hills_00_selected_rgbd_energy,30.450000000000003,0.1277080923318863,0.017174866050481796,False,6.517054080963135,11.450000000000001,18.5,[],59.72557849453844,59.6273994090072,-0.09817908553124255,15,65.76219624613317,True,False
diverse_v1_test_rough_mosaic_00_selected_rgbd_time,11.700000000000001,0.11601719260215759,0.013762356713414192,True,10.747063636779785,3.8000000000000003,3.8000000000000003,"[0.0, 1.0, 1.05, 1.1, 2.0, 3.0, 3.5, 3.7, 3.75]",48.72052985620623,46.475430667063065,-2.2450991891431613,12,47.60822204471293,False,False
diverse_v1_test_rough_mosaic_00_selected_rgbd_energy,12.5,0.1286303997039795,0.014233889058232307,False,10.882246971130371,0.5,4.0,"[0.55, 0.9500000000000001, 1.0, 1.05, 2.0]",66.38779989607288,62.39411907619708,-3.9936808198757987,12,68.38531275708426,False,False
diverse_v1_test_cross_slopes_00_selected_rgbd_time,,0.0889996737241745,0.013457287102937698,False,9.17733383178711,,,[],53.53065283992611,53.36315484678549,-0.1674979931406213,15,53.53065283992611,False,True
diverse_v1_test_cross_slopes_00_selected_rgbd_energy,,0.08977512270212173,0.013533612713217735,False,9.170125961303711,,,[],69.79886517307374,69.53019840607644,-0.2686667669972991,15,69.79886517307374,False,True
